Gericht,Zutaten,Schwierigkeitsgrad,Dauer,Bild,Anleitung
Haferflocken mit Beeren,"50g Haferflocken, 100g Beeren (z.B. Himbeeren, Blaubeeren), 200ml Milch oder Joghurt, 1 EL Honig",Sehr leicht,10 Minuten,https://www.edeka.de/media/01-rezeptbilder/rezeptbilder-i-p/rez-edeka-porridge-mit-beeren-rezept-i-p-1-1.jpg,1. Haferflocken in einer Schüssel mit Milch oder Joghurt vermengen. 2. Frische Beeren hinzufügen und mit Honig süßen. 3. Sofort servieren.
Avocado-Toast,"1 Avocado, 2 Scheiben Vollkornbrot, 1 Ei, Salz, Pfeffer",Leicht,5 Minuten,https://mesbrouillonsdecuisine.fr/wp-content/uploads/2021/09/IMG_5475.jpg,"1. Avocado halbieren, entkernen und das Fruchtfleisch auf Toastbrot streichen. 2. Ein Ei in einer Pfanne braten und auf die Avocado-Toast legen. 3. Mit Salz und Pfeffer würzen und servieren."
Joghurt mit Müsli und Früchten,"150g Naturjoghurt, 50g Müsli, 100g frische Früchte (z.B. Banane, Erdbeeren), 1 EL Honig",Sehr leicht,5 Minuten,https://kochclub.schuhbeck.de/wp-content/uploads/2017/05/knuspermuesli.jpg,1. Naturjoghurt in eine Schüssel geben. 2. Müsli und frische Früchte hinzufügen. 3. Nach Belieben mit Honig süßen und sofort genießen.
Omelett mit Gemüse,"3 Eier, 100g Gemüse (z.B. Paprika, Spinat), Salz, Pfeffer",Leicht,10 Minuten,https://www.paramediform.ch/app/uploads/2023/01/Gemueseomelette_gez-scaled-jpg-webp.webp,"1. Eier verquirlen und mit Salz und Pfeffer würzen. 2. Gemüse nach Wahl (z.B. Paprika, Spinat) in einer Pfanne anbraten. 3. Eier darüber gießen und stocken lassen. 4. Omelett vorsichtig falten und servieren."
Smoothie-Bowl,"200g gemischte gefrorene Früchte (z.B. Banane, Beeren), 150ml Mandelmilch, Toppings (z.B. Granola, Kokosraspeln)",Leicht,5 Minuten,https://zestysouthindiankitchen.com/wp-content/uploads/2019/02/Berry-smoothie-bowl-2.jpg,"1. Gefrorene Früchte und Mandelmilch in einen Mixer geben und cremig mixen. 2. In einer Schüssel anrichten und mit Toppings (z.B. Granola, Kokosraspeln) garnieren."
Pancakes mit Ahornsirup,"100g Mehl, 1 Ei, 150ml Milch, 1 EL Zucker, 1 TL Backpulver, Ahornsirup",Mittel,15 Minuten,https://www.grillfuerst.de/magazin/wp-content/uploads/2020/03/Pancake-Ahornsirup-scaled.jpg?v=1665135735,"1. Mehl, Eier, Milch, Zucker und Backpulver zu einem Teig verrühren. 2. Pancakes in einer Pfanne goldbraun backen und mit Ahornsirup servieren."
Chia-Pudding mit Früchten,"3 EL Chiasamen, 250ml Mandelmilch, 100g Früchte (z.B. Erdbeeren, Mango)",Sehr leicht,5 Minuten,https://www.foodtempel.de/wp-content/uploads/2023/03/Veganer-Chiapudding-mit-Erdbeeren-und-Mandeln.jpg,1. Chiasamen und Mandelmilch vermischen und über Nacht im Kühlschrank quellen lassen. 2. Am nächsten Morgen mit Früchten garnieren und genießen.
Lachs-Sandwich,"100g Räucherlachs, 50g Frischkäse, 1/2 Gurke, Dill, 2 Scheiben Vollkornbrot",Leicht,10 Minuten,https://snackconnection-marktplatz.de/wp-content/uploads/2023/02/Lachs-Gurken-Sandwich-c-123rf-azurita.jpg,"1. Räucherlachs, Frischkäse, Gurke und Dill auf Vollkornbrot schichten. 2. Mit etwas Zitrone beträufeln und servieren."
Acai-Bowl,"100g Acai-Püree, 1 Banane, 50g Beeren (z.B. Blaubeeren, Erdbeeren), 30g Granola, 1 EL Kokosraspeln",Leicht,5 Minuten,https://www.twopeasandtheirpod.com/wp-content/uploads/2023/06/Acai-Bowl-10.jpg,1. Acai-Püree in eine Schüssel geben. 2. Mit geschnittenen Bananen und Beeren belegen. 3. Mit Granola und Kokosraspeln toppen und sofort genießen.
Apfel-Nuss-Müsli,"50g Haferflocken, 30g gemischte Nüsse, 150g Joghurt, 1 Apfel, 1 EL Honig",Sehr leicht,5 Minuten,https://tribalance.de/cdn/shop/articles/tri.balance_Rezept-Tipp_Muesli.jpg?v=1700628257,"1. Haferflocken, Nüsse und Joghurt in eine Schüssel geben. 2. Apfel in Stücke schneiden und dazugeben. 3. Mit Honig süßen und gut durchmischen."
